Taxon	FAD	LAD	Lag
Acamptonectes_densus	132.90	129.40	0
Aegirosaurus_leptospondylus	153.96	149.87	1
Arthropterygius_chrisorum	163.47	152.06	0
Athabascasaurus_bitumineus	113.00	111.50	0
Barracudasauroides_panxianensis	244.94	243.99	1
Besanosaurus_leptorhynchus	242.10	241.50	1
Brachypterygius_extremus	151.00	150.00	0
Brachypterygius_pseudoscythica	150.10	149.50	0
Californosaurus_perrini	233.50	228.35	0
Callawayia_neoscapularis	221.50	217.50	0
Cartorhynchus_lenticarpus	247.70	247.20	1
Caypullisaurus_bonapartei	152.10	139.40	0
Chacaicosaurus_cayi	170.30	169.45	0
Chaohusaurus_chaoxianensis	247.90	247.20	1
Chaohusaurus_geishanensis	247.90	247.20	1
Chaohusaurus_zhangjiawanensis	247.90	247.20	1
Contectopalatus_atavus	244.94	241.50	1
Cryopterygius_kielanae	149.00	147.00	0
Cryopterygius_kristiansenae	148.30	147.40	1
Cymbospondylus_buchseri	242.57	240.30	1
Cymbospondylus_nichollsi	243.99	243.05	0
Cymbospondylus_petrinus	243.99	241.50	0
Cymbospondylus_piscosus	247.20	241.50	0
Dearcmhara_shawcrossi	174.43	169.45	0
Eurhinosaurus_longirostris	182.70	180.36	1
Excalibosaurus_costini	199.30	197.80	1
Gengasaurus_nicosiai	155.00	150.00	0
Grendelius_alekseevi	149.60	147.90	0
Grendelius_zhuravlevi	149.60	147.90	0
Grippia_longirostris	247.70	247.20	0
Guizhouichthyosaurus_tangae	233.50	228.35	1
Guizhouichthyosaurus_wolonggangense	233.50	228.35	1
Gulosaurus_helmi	247.70	247.20	0
Hauffiopteryx_typicus	182.70	181.25	1
Himalayasaurus_tibetensis	215.56	212.00	0
Hudsonelpidia_brevirostris	226.50	221.25	0
Ichthyosaurus_acutirostris	180.36	175.60	1
Ichthyosaurus_anningae	193.81	189.35	1
Ichthyosaurus_breviceps	200.10	196.31	1
Ichthyosaurus_communis	201.30	196.31	1
Ichthyosaurus_conybeari	200.10	196.31	1
Ichthyosaurus_larkini	201.30	200.85	1
Ichthyosaurus_somersetensis	201.30	200.85	1
Isfjordosaurus_minor	247.70	247.20	0
Janusaurus_lundi	148.30	147.40	1
Keilhauia_nui	145.00	143.00	1
Leninia_stellans	126.30	123.00	0
Leptonectes_moorei	190.82	187.56	1
Leptonectes_solei	195.31	193.81	1
Leptonectes_tenuirostris	201.30	190.80	1
Macgowania_janiceps	220.00	216.90	0
Maiaspondylus_lindoei	111.27	110.22	0
Malawania_anachronus	131.00	125.00	0
Mikadocephalus_gracilirostris	242.57	240.30	1
Mixosaurus_cornalianus	242.57	240.30	1
Mixosaurus_kuhnschneyderi	242.57	240.30	1
Mixosaurus_xindianensis	244.94	241.50	1
Mollesaurus_periallus	170.30	169.45	0
Muiscasaurus_catheti	130.77	115.64	0
Nannopterygius_enthekiodon	154.60	149.87	0
Ophthalmosaurus_icenicus	165.59	161.39	1
Ophthalmosaurus_natans	163.50	157.30	0
Ophthalmosaurus_yasykovi	147.50	146.40	0
Palvennia_hoybergeti	148.30	147.40	1
Paraophthalmosaurus_kabanovi	147.50	146.90	0
Paraophthalmosaurus_saveljeviensis	149.60	146.90	0
Parvinatator_wapitiensis	247.70	247.20	0
Pervushovisaurus_bannovkensis	96.24	95.47	0
Pervushovisaurus_campylodon	100.45	96.50	0
Pessopteryx_nisseri	247.70	247.20	0
Phalarodon_callawayi	243.99	239.10	0
Phalarodon_fraasi	244.94	237.00	1
Phalarodon_major	244.94	237.00	0
Phantomosaurus_neubigi	244.94	241.50	0
Platypterygius_americanus	107.59	100.50	0
Platypterygius_australis	113.00	100.50	0
Platypterygius_hauthali	130.77	129.41	0
Platypterygius_hercynicus	125.00	113.00	0
Platypterygius_platydactylus	125.00	113.00	0
Platypterygius_sachicarum	130.77	113.00	0
Qianichthyosaurus_xingyiensis	241.50	237.00	1
Qianichthyosaurus_zhoui	237.00	228.35	1
Quasianosteosaurus_vikinghoegdai	247.70	247.20	0
Sclerocormus_parviceps	247.90	247.70	1
Shastasaurus_liangae	233.50	228.35	1
Shastasaurus_pacificus	233.50	228.35	0
Shastasaurus_sikkaniensis	216.90	214.70	0
Shonisaurus_popularis	233.50	228.35	0
Simbirskiasaurus_birjukovi	130.77	129.41	0
Sisteronia_seeleyi	100.50	96.24	0
Stenopterygius_aaleniensis	174.10	172.13	0
Stenopterygius_quadriscissus	182.70	180.36	1
Stenopterygius_triscissus	182.70	180.36	1
Stenopterygius_uniter	181.70	180.36	1
Suevoleviathan_disinteger	181.70	180.36	1
Suevoleviathan_integer	181.70	180.36	1
Sveltonectes_insolitus	129.60	126.30	0
Temnodontosaurus_azerguensis	180.36	178.24	0
Temnodontosaurus_crassimanus	182.70	180.36	1
Temnodontosaurus_eurycephalus	199.30	197.80	1
Temnodontosaurus_nuertingensis	190.80	187.56	0
Temnodontosaurus_platyodon	200.10	196.31	1
Temnodontosaurus_trigonodon	182.70	180.36	1
Thaisaurus_chonglakmanii	250.01	247.20	0
Thalattoarchon_saurophagis	247.20	244.60	0
Tholodus_schmidi	241.00	237.00	0
Toretocnemus_californicus	233.50	228.35	0
Toretocnemus_zitteli	233.50	228.35	0
Undorosaurus_gorodischensis	147.90	146.90	0
Undorosaurus_trautscholdi	150.00	144.10	0
Utatsusaurus_hataii	247.70	247.20	0
Wahlisaurus_massarae	201.30	200.85	0
Wimanius_odontopalatus	241.50	237.00	1
Xinminosaurus_catactes	244.94	241.50	1
